company_name,website,source_url,source_name,company_profile_url,city,country,full_location,category_primary,category_secondary,services,description,phone,email,linkedin,facebook,instagram,founded_year,company_size,pricing_info,hourly_rate,minimum_project_size,technologies,industries_served,rating,review_count,verified_status,last_seen,scraped_at,source_priority,source_count,duplicate_confidence,domain_normalized,name_normalized,merged_sources,confidence_score,ceo_name,ceo_title,ceo_linkedin,scraped_email,guessed_emails,general_email,scraped_real_emails,scraped_phones,scraped_linkedins,scraped_twitters,scraped_facebooks
Datahub Analytics,,https://jo.linkedin.com/company/datahubanalytics,LinkedIn (via Google),https://jo.linkedin.com/company/datahubanalytics,Amman,Jordan,,,,,#DevOps #Outsourcing | The first specialized data analytics company in Jordan ... ‏Amman‏، ‏Jordan‏ · Estarta Solutions. الخدمات والاستشارات في مجال تكنولوجيا ...Read more,,,,,,,,,,,,,,,,,2026-04-26T00:35:15.440953,,0,,datahub analytics,datahub analytics,"LinkedIn (via Google) (https://jo.linkedin.com/company/datahubanalytics), LinkedIn (via Google) (https://es.linkedin.com/company/datahubanalytics)",0.49999999999999994,Waseem Al Rousan‏,‏Transformational Leader | IT Strategist,https://jo.linkedin.com/in/waseem-al-rousan-72a4863,,,,,,,,
Logatta,,https://jo.linkedin.com/company/logatta,LinkedIn (via Google),https://jo.linkedin.com/company/logatta,Amman,Jordan,,,,,"Logatta specializes in Big Data Analytics, AI Modeling, and AI-powered systems development. ... Amman, Jordan | Full-time About Crosure: A UK-based SaaS ...Read more",,,,,,,,,,,,,,,,,2026-04-26T00:35:15.442753,,0,,logatta,logatta,LinkedIn (via Google) (https://jo.linkedin.com/company/logatta),0.49999999999999994,Kasim Mufti‏,‏Logatta/Accord,https://jo.linkedin.com/in/kasim-mufti-01959413a,,,,,,,,
Pure Analytica,,https://jo.linkedin.com/company/pure-analytica,LinkedIn (via Google),https://jo.linkedin.com/company/pure-analytica,Amman,Jordan,,,,,الخدمات والاستشارات في مجال تكنولوجيا المعلومات. ‏Amman‏، ‏Amman‏ ‏٢٬٥٠٨‏ ‏متابع‏ ... الاتحاد الأردني لشركات التأمين JIF - Jordan Insurance Federation facebook.Read more,,,,,,,,,,,,,,,,,2026-04-26T00:35:15.442753,,0,,pure analytica,pure analytica,LinkedIn (via Google) (https://jo.linkedin.com/company/pure-analytica),0.49999999999999994,‏Mutaz M. Al,"Debei, Ph.D.‏",https://jo.linkedin.com/in/mutaz-m-al-debei-ph-d-20510623,,,,,,,,
NeoGenesis Technical Solutions,,https://jo.linkedin.com/company/neogenesis-technical-solutions,LinkedIn (via Google),https://jo.linkedin.com/company/neogenesis-technical-solutions,Amman,Jordan,,,,,"... Data Analytics, and Machine learning. Building ... المواقع الجغرافية. رئيسي. Al Mawaddah Street. ‏Amman‏، ‏Amman‏ ‏P.O.Box 852643 Amman 11185, Jordan‏، ‏JO‏.Read more",,,,,,,,,,,,,,,,,2026-04-26T00:35:15.442753,,0,,neogenesis technical,neogenesis technical,LinkedIn (via Google) (https://jo.linkedin.com/company/neogenesis-technical-solutions),0.49999999999999994,Omar Omari‏,‏Operations Manager / CO Founder at ...,https://jo.linkedin.com/in/omar-omari-690306a3,,,,,,,,
Smart Dots,,https://jo.linkedin.com/company/smart-dots,LinkedIn (via Google),https://jo.linkedin.com/company/smart-dots,Amman,Jordan,,,,,"SmartDOTs is a digital transformation company operating across Jordan, the UAE, Saudi Arabia, and Iraq. We help organizations plan, build, ...Read more",,,,,,,,,,,,,,,,,2026-04-26T00:35:15.442753,,0,,smart dots,smart dots,LinkedIn (via Google) (https://jo.linkedin.com/company/smart-dots),0.49999999999999994,Mahdi Daoud,Radio & Television Presenter,https://jo.linkedin.com/in/mahdi-daoud-844488ab,,,,,,,,
5Y Technology,,https://jo.linkedin.com/company/5y-technology,LinkedIn (via Google),https://jo.linkedin.com/company/5y-technology,Amman,Jordan,,,,,"‏Data Analytics، Business Intelligence، Data Platform، Business ... Zeinab St., Amman, Jordan. ‏Amman‏، ‏JO‏. احصل على اتجاهات السير. موظفين في ‏5Y ...Read more",,,,,,,,,,,,,,,,,2026-04-26T00:35:15.442753,,0,,5y technology,5y technology,LinkedIn (via Google) (https://jo.linkedin.com/company/5y-technology),0.49999999999999994,‏Samer Sammour‏,‏5Y Technology‏,https://jo.linkedin.com/in/sam-sammour,,,,,,,,
Digital Analytica,,https://jo.linkedin.com/company/digital-analytica,LinkedIn (via Google),https://jo.linkedin.com/company/digital-analytica,Amman,Jordan,,,,,... Data Analytics for Banking. We lead your digital transformation journey Strategize!‏ ... ‏Amman‏، ‏Shmaisani‏ ‏11181‏، ‏JO‏. احصل على اتجاهات السير. 848 N ...Read more,,,,,,,,,,,,,,,,,2026-04-26T00:35:15.442753,,0,,digital analytica,digital analytica,LinkedIn (via Google) (https://jo.linkedin.com/company/digital-analytica),0.49999999999999994,Nasser Sami Zagha,MBA PMP® SCRUM CSM® ITIL®,https://www.linkedin.com/in/nasser-sami-zagha,,,,,,,,
ADSTRA,,https://jo.linkedin.com/company/adstratech,LinkedIn (via Google),https://jo.linkedin.com/company/adstratech,Amman,Jordan,,,,,"With expertise in AI, ML, and big data, we empower clients with comprehensive compliance suites, data analytics, and custom software development. ... Amman.Read more",,,,,,,,,,,,,,,,,2026-04-26T00:35:15.442753,,0,,adstra,adstra,LinkedIn (via Google) (https://jo.linkedin.com/company/adstratech),0.49999999999999994,Mohammad Bdair‏,‏ADSTRA,https://jo.linkedin.com/in/mohammadabdair,,,,,,,,
EvoKey,,https://jo.linkedin.com/company/evokey,LinkedIn (via Google),https://jo.linkedin.com/company/evokey,Amman,Jordan,,,,,"... Web Development: Crafting responsive, high-performance websites tailored ... ‏Amman‏، ‏Jordan‏. Estarta Solutions. الخدمات والاستشارات في مجال تكنولوجيا ...Read more",,,,,,,,,,,,,,,,,2026-04-26T00:35:15.442753,,0,,evokey,evokey,LinkedIn (via Google) (https://jo.linkedin.com/company/evokey),0.49999999999999994,Mohammad Abudiab‏,‏Co,https://jo.linkedin.com/in/mohammad-abudiab,,,,,,,,
Techs Factory,,https://jo.linkedin.com/company/techsfactory,LinkedIn (via Google),https://jo.linkedin.com/company/techsfactory,Amman,Jordan,,,,,"‏Amman‏, ‏Amman‏. النوع: شركة يملكها عدد قليل من الأشخاص. تم التأسيس: 2014. التخصصات: ‏Web Development ... We're Hiring –Senior Accountant (Contractor) In Jordan ...Read more",,,,,,,,,,,,,,,,,2026-04-26T00:35:15.442753,,0,,techs factory,techs factory,LinkedIn (via Google) (https://jo.linkedin.com/company/techsfactory),0.49999999999999994,Moutasem Shahin‏,‏CEO Founder,https://jo.linkedin.com/in/moutasemshahin,,,,,,,,
