name,linkedin_url,description
Jordan University of Science and Technology,https://www.linkedin.com/school/jordan-university-of-science-and-technology/,"... Jordan, 70km north Amman, the capital city of Jordan. JUST was established in 1986 as an autonomous national institute of higher education with the main ...Read more"
‏International Community School- Amman‏,https://jo.linkedin.com/school/ics-amman/,"An International Community School with over 65 nationalities in Amman, Jordan. Founded in 1952 as a primary school to serve the children of the British ...Read more"
"Amman Academy Employees, Location, Alumni",https://www.linkedin.com/school/ammanacademy/,"Amman Academy is a leading IB school in Jordan, with a longstanding reputation for academic excellence, both nationally and across the globe.Read more"
الموظفون في ‏Al Ahliyya Amman University‏ والموقع الجغرافي ...,https://jo.linkedin.com/school/al-ahliyya-amman-university/,"Established in 1990, Al-Ahliyya Amman University (AAU) was the first private university and pioneer of private education in Jordan.Read more"
Middle East University Jordan,https://www.linkedin.com/school/meuedujo/,Website: https://www.meu.edu.jo/. External link for Middle East University Jordan ; Industry: Education ; Company size: 201-500 employees ; Headquarters: Amman ...Read more
الموظفون في ‏42 Amman‏ والموقع الجغرافي والخريجون,https://jo.linkedin.com/school/42amman/,"... Amman‏ | ‏٧٬٦٨٤‏ من المتابعين على LinkedIn. ‏42 عمّان هو برنامج مقدّم من ... Jordan, the French Embassy in Jordan, and implemented by the College of ...Read more"
الموظفون في ‏Jordan Media Institute‏ والموقع الجغرافي ...,https://jo.linkedin.com/school/jordan-media-institute/,"The Jordan Media Institute, founded in 2006 by Princess Rym Ali, is a non-profit educational institution located in Amman, Jordan. The Institute offers two ...Read more"
الموظفون في ‏Amman Arab University‏ والموقع الجغرافي ...,https://jo.linkedin.com/school/ammanarabuniversity/,Welcome To Amman Arab University Official Page Amman ... #GlobalLeadersInc #LegalExpert #Advocacy #HumanRights #Leadership #CapacityBuilding Jordan Global Leaders ...Read more
الموظفون في ‏Collège De La Salle,https://jo.linkedin.com/school/college-de-la-salle-fr%C3%A8res/,"A private school in Amman, Jordan, established in 1950. Part of a network of schools in 80 countries around the world. · عرض كل الوظائف الشاغرة · عرض ‏كل الموظفين ...Read more"
"University of Jordan Employees, Location, Alumni",https://www.linkedin.com/school/university-of-jordan/,"University of Jordan | 156206 followers on LinkedIn. University of Jordan ... Amman, Amman. Jordan Islamic Bank البنك الإسلامي الأردني. Banking. AMMAN, AMMAN ...Read more"
الموظفون في ‏Amman Baccalaureate School‏ والموقع ...,https://jo.linkedin.com/school/ammanbaccalaureate/,"‏Amman/ Sweileh‏, ‏Amman‏. النوع: تعليمي. تم التأسيس: 1981. المواقع الجغرافية. رئيسي. Al Hijaz Street Dabouq. ‏Amman/ Sweileh‏، ‏Amman‏ ‏11910‏، ‏JO‏. احصل على ...Read more"
الموظفون في ‏University of Jordan‏ والموقع الجغرافي والخريجون,https://jo.linkedin.com/school/university-of-jordan/,University of Jordan is The oldest Higher education institution and university in Jordan. ... ‏Amman‏، ‏Amman‏ ‏11942‏، ‏JO‏. احصل على اتجاهات السير. ‏Amman‏، ‏JO ...Read more
‏Al Ahliyya Amman University‏: الخريجون,https://jo.linkedin.com/school/al-ahliyya-amman-university/people,... Amman University (AAU) was the first private university and pioneer of private education in Jordan. AAU has been accorded institutional and programmatic ...
Jordan University of Science and Technology,https://jo.linkedin.com/school/jordan-university-of-science-and-technology/,"... Jordan, 70km north Amman, the capital city of Jordan. JUST was established in 1986 as an autonomous national institute of higher education with the main ...Read more"
الموظفون في ‏الجامعه الالمانيه الاردنيه‏ والموقع الجغرافي ...,https://jo.linkedin.com/school/german-jordanian-university/,"Amman ,Jordan. النوع: تعليمي. تم التأسيس: 2005. التخصصات: ‏management degrees ... 962-6-430-0215 P.O. Box 35247 Amman 11180 Jordan. ‏Amman ,Jordan‏، ‏11180 ...Read more"
الموظفون في ‏Amman Academy‏ والموقع الجغرافي والخريجون,https://jo.linkedin.com/school/ammanacademy/,"Amman Academy is a leading IB school in Jordan, with a longstanding reputation for academic excellence, both nationally and across the globe.Read more"
"الموظفون في ‏University of Jordan, Amman‏ والموقع الجغرافي ...",https://jo.linkedin.com/school/trident-b.ed.-college/,"University of Jordan, Amman‏ | ‏٢٬٣٣٩‏ من المتابعين على LinkedIn. ‏The University of Jordan (UJ) was founded in 1962 and has grown to become Jordan's ..."
Al Hussein Technical University (HTU),https://www.linkedin.com/school/al-hussein-technical-university-htu/,"Amman, Jordan. Triumphs of Talent. Events Services. Hyderabad, Telangana. CRYPTTECH. Data Security Software Products. Istanbul, Esenler. Show more similar pagesRead more"
Amman Academy‏: الخريجون,https://jo.linkedin.com/school/ammanacademy/people,"Amman Academy‏ | ‏٢٢٬٤٣٤‏ ‏متابع‏ على LinkedIn. ‏Amman Academy is a leading IB school in Jordan, with a longstanding reputation for academic excellence ..."
‏The International Academy,https://jo.linkedin.com/company/the-international-academy-amman,"Her Majesty Queen Rania Al Abdulla II in the heart of Jordan. | Founded in 2004 the International Academy – Amman is an independent, co-educational day school ..."
Amman Baccalaureate School,https://www.linkedin.com/company/amman-baccalureate-school_2,"The Amman Baccalaureate School (ABS) is situated on the west side of Amman in Jordan; it was established in 1981 by the Hashemite Society for Education, ...Read more"
SAE Institute Amman,https://www.linkedin.com/company/saeinstituteamman,The SAE Amman campus (part of Luminus Education ... SAE Institute's BA/BSc and diploma courses are accredited with the Higher Education Ministry of Jordan.Read more
Jordanian International Schools,https://www.linkedin.com/company/jordanian-international-schools,... Education of Jordan. Vision The Jordanian International Schools will ... Similar pages. Amman Baccalaureate School - ABS. Education Administration ...Read more
"American Community School, Amman",https://www.linkedin.com/company/american-community-school-amman,"Mashrek International School. Education Administration Programs. Amman, Amman · The International Academy - Amman. Primary and Secondary Education · Modern ...Read more"
Bridge International for Academic Services,https://jo.linkedin.com/company/bridge-international-for-academic-services-jordan,"... school counsellors, and the wider Jordanian education community. This ... Jordan's leading institution for international education and studying abroad.Read more"
Modern American School,https://www.linkedin.com/company/modern-american-school---amman-jordan,"Date: 3 October 2025 Location: Modern American School, Amman – Jordan Don't ... The International Academy - Amman. Primary and Secondary Education ...Read more"
The International Academy,https://kr.linkedin.com/company/the-international-academy-amman?trk=ppro_cprof,The International Academy - Amman. 1차 및 2차 교육. An independent co-educational day school by Her Majesty Queen Rania Al Abdulla II in the heart of Jordan.
The International School of Choueifat,https://www.linkedin.com/company/the-international-school-of-choueifat-amman,#School #Amman #EducationForAChangingWorld #Jordan #Education #SABIS #ISCAmman ... The International Academy - Amman. Primary and Secondary Education ...Read more
Sands National Academy,https://jo.linkedin.com/company/sands-national-academy,نبذة عنا. Sands National Academy is a school that offers a comprehensive and balanced education ... صفحات مشابهة. Amman Baccalaureate School - ABS. برامج ...Read more
International Community School- Amman,https://th.linkedin.com/school/ics-amman/,"An International Community School with over 65 nationalities in Amman, Jordan. Founded in 1952 as a primary school to serve the children of the British ...Read more"
Al-Zaytoonah University of Jordan,https://jo.linkedin.com/school/jami'at-al-zaytoonah-alordunia-al-khassa/,"‏Amman‏, ‏Amman‏. النوع: تعليمي. تم التأسيس: 1993. المواقع الجغرافية. رئيسي. P.O Box 130 Amman 11733 Jordan. ‏Amman‏، ‏Amman‏ ‏11733‏، ‏JO‏. احصل على اتجاهات ...Read more"
Jordan Media Institute: الخريجون,https://jo.linkedin.com/school/jordan-media-institute/people,"... Amman, Jordan. The Institute offers two pillars of service, a one year practical master's program in journalism with the University of Jordan and ..."
"Amman Baccalaureate School Employees, Location, Alumni",https://www.linkedin.com/school/ammanbaccalaureate/,"The Amman Baccalaureate School (ABS) is a private, fee-paying school, non-profit organization. It is a coeducational day school, and prepares its students ...Read more"
Al-Zaytoonah University of Jordan,https://www.linkedin.com/school/jami'at-al-zaytoonah-alordunia-al-khassa/,"Amman, Amman. Type: Educational. Founded: 1993. Locations. Primary. P.O Box 130 Amman 11733 Jordan. Amman, Amman 11733, JO. Get directions. Employees at Al- ...Read more"
"University of Jordan Employees, Location, Alumni",https://cy.linkedin.com/school/university-of-jordan/,"Amman, Amman 11942, JO. Get directions. Amman, JO. Get directions. Employees at University of Jordan. Click here to view Dr. Oqba Kuran's profile. Dr. Oqba ...Read more"
الموظفون في ‏Modern Montessori School,https://jo.linkedin.com/school/modern-montessori-school/,"Nader Istaitiyeh St. ‏Amman‏، ‏P.O Box 1941‏ ‏11821‏، ‏JO‏. احصل على اتجاهات ... On Jordan Flag Day, we stand united under one symbol: strong, steadfast ...Read more"
الموظفون في ‏Royal Academy of Culinary Arts‏ والموقع ...,https://jo.linkedin.com/school/royal-academy-of-culinary-arts-jordan/,"My journey continued back in Jordan at Four Seasons Hotel Amman as a commis 1, and it all began at Hyatt Regency Aqaba Ayla Resort as a commis 2. Every step ...Read more"
‏Middle East University Jordan‏: الخريجون,https://jo.linkedin.com/school/meuedujo/people?trk=nav_type_people,Middle East University Jordan. التعليم. ‏Amman Governorate‏، ‏Amman‏ ‏١٠٬٠٣٣‏ ‏متابع‏. Preparing leaders through creating an environment that stimulates ...Read more
American Academy Jordan (Zarqa),https://www.linkedin.com/company/american-academy-jordan,"Education Management. LOYAL -لويال. Personal Care Product Manufacturing. Amman, Jordan. Al-Asriyya School. Primary and Secondary Education. Khalda, Amman. Show ...Read more"
Alliance Academy Jordan,https://jo.linkedin.com/company/alliance-academy-jordan-aaj,"For the first time , Alliance Academy Jordan is offering the American High School ... صفحات مشابهة. Amman Baptist School. برامج إدارة التعليم. ‏Amman‏، ‏Amman ...Read more"
‏Amman Baccalaureate School,https://jo.linkedin.com/company/amman-baccalureate-school_2,"The Amman Baccalaureate School (ABS) is situated on the west side of Amman in Jordan; it was established in 1981 by the Hashemite Society for Education, ...Read more"
British International Academy,https://www.linkedin.com/company/british-international-academy,"About us. A school for girls, located in Amman, Jordan Planning to provide an ... The International Academy - Amman. Primary and Secondary Education ...Read more"
Amman National School,https://gh.linkedin.com/company/amman-national-school,"Amman National School is a Primary/Secondary company located in Al Firdaws, , Amman, Amman Governorate, Jordan. ... The International Academy - Amman.Read more"
Waldorf School of Jordan,https://jo.linkedin.com/company/waldorfjordan,‏Kindergarten، Waldorf Education، Elementary Education، American High School Diploma، و International Curricula‏ ... The International Academy - Amman. التعليم ...Read more
Al-Ridwan Schools,https://jo.linkedin.com/company/rsedujo,sultan alsays. amman - jordan at alridwan school. انقر هنا لعرض ملف ‏Kareem ... The International Academy - Amman. التعليم الثانوي والابتدائي · North City ...Read more
Queen Rania Foundation,https://it.linkedin.com/company/qrfoundation?trk=public_profile_experience-item_profile-section-card_subtitle-click,"We aim to transform education in Jordan and the region by working with ... Località. Principale. Hashemite Kingdom of Jordan. Amman, Amman, JO. Ottieni ...Read more"
The International Academy,https://cn.linkedin.com/company/the-international-academy-amman?trk=public_profile_experience-item_profile-section-card_image-click,"... Jordan. | Founded in 2004 the International Academy – Amman is an independent, co-educational day school ... International Education、international ... Amman，Amman ..."
Jordan Education Foundation,https://www.linkedin.com/company/jordan-education-foundation,... Jordan School District | South Jordan Journal southjordanjournal.com · 2 · Like Comment Share. View organization page for Jordan Education Foundation. Jordan ...Read more
Ministry of Education,https://www.linkedin.com/company/edugovjo,"Amman, Jordan. Ministry of Education. Education Administration Programs. Queen Rania Teacher Academy (QRTA). Education. Amman, محافظة عمان. Show more similar ...Read more"
American Academy of Innovation,https://www.linkedin.com/company/american-academy-of-innovation,"School Principal at American Academy of… See all employees. Similar pages. Mountain West Montessori Academy. Primary and Secondary Education. South Jordan, Utah ...Read more"
Amman National School,https://jm.linkedin.com/company/amman-national-school?trk=similar-pages_result-card_full-click,"... Amman, Amman Governorate, Jordan ... The International Academy - Amman. Primary and Secondary Education · Canadian International School ...Read more"
Jordan Academy for Quality Management,https://www.linkedin.com/company/jaqm,"Jordan Academy for Quality Management - JAQM. Business Consulting and Services. Amman - Tel: +962 6 516 0157, Amman 4,730 followers. Follow.Read more"
